Company,Diameter,Configuration,Specification
"Cheap Tubes, Inc.",>50nm,functionalized,
"Cheap Tubes, Inc.",>50nm,pure,
"Cheap Tubes, Inc.",>50nm,functionalized,
"Cheap Tubes, Inc.",>50nm,pure,
"Cheap Tubes, Inc.",>50nm,functionalized,
"Cheap Tubes, Inc.",>50nm,functionalized,
Chengdu Organic Chemicals Co. Ltd.,>50nm,pure,
Chengdu Organic Chemicals Co. Ltd.,>50nm,functionalized,
Chengdu Organic Chemicals Co. Ltd.,>50nm,functionalized,
Chengdu Organic Chemicals Co. Ltd.,>50nm,pure,
Chengdu Organic Chemicals Co. Ltd.,>50nm,pure,
"HeJi, Inc.",>50nm,pure,
"HeJi, Inc.",>50nm,pure,L(500nm or 2000nm) shortCNT
"HeJi, Inc.",>50nm,functionalized,
"HeJi, Inc.",>50nm,functionalized,
Sisco Research Laboratories Pvt. Ltd.,>50nm,pure,
Sisco Research Laboratories Pvt. Ltd.,>50nm,pure,
Sun Innovations,>50nm,pure,
Sun Innovations,>50nm,functionalized,
Sun Innovations,>50nm,functionalized,
Sun Innovations,>50nm,pure,
XP Nano Material Co. Ltd.,>50nm,pure,
XP Nano Material Co. Ltd.,>50nm,pure,
XP Nano Material Co. Ltd.,>50nm,pure,
XP Nano Material Co. Ltd.,>50nm,pure,
XP Nano Material Co. Ltd.,>50nm,pure,
XP Nano Material Co. Ltd.,>50nm,pure,
United Nanotech Innovations Pvt.Ltd,Av. Outer Diameter: 20nm,Black powder,Functinalized Amine MWCNT
United Nanotech Innovations Pvt.Ltd,Av. Outer Diameter: 20nm Av. Inside Diameter: 16 nm,Black powder,Functionalized Hydroxyl MWCNT
Nanochemazone,"O.D (20-30 nm), I.D (5-7 nm) (Customization possible)",,Nanopowder/Nanodispersion
